,Image,Quality_Binary,Error_Multi,Problem
0,Spule001_Image0001.jpg,0,0.0,
1,Spule001_Image0002.jpg,0,0.0,
2,Spule001_Image0003.jpg,0,0.0,
3,Spule001_Image0004.jpg,0,0.0,
4,Spule001_Image0005.jpg,0,0.0,
5,Spule001_Image0006.jpg,0,0.0,
6,Spule001_Image0007.jpg,0,0.0,
7,Spule001_Image0008.jpg,0,0.0,
8,Spule001_Image0009.jpg,0,0.0,
9,Spule001_Image0010.jpg,0,0.0,
10,Spule001_Image0011.jpg,0,0.0,
11,Spule001_Image0012.jpg,0,0.0,
12,Spule001_Image0013.jpg,0,0.0,
13,Spule001_Image0014.jpg,0,0.0,
14,Spule001_Image0015.jpg,0,0.0,
15,Spule001_Image0016.jpg,0,0.0,
16,Spule001_Image0017.jpg,0,0.0,
17,Spule001_Image0018.jpg,0,0.0,
18,Spule001_Image0019.jpg,0,0.0,
19,Spule001_Image0020.jpg,0,0.0,
20,Spule001_Image0021.jpg,0,0.0,
21,Spule001_Image0022.jpg,0,0.0,
22,Spule001_Image0023.jpg,0,0.0,
23,Spule001_Image0024.jpg,0,0.0,
24,Spule001_Image0025.jpg,0,0.0,
25,Spule001_Image0026.jpg,0,0.0,
26,Spule001_Image0027.jpg,0,0.0,
27,Spule001_Image0028.jpg,0,0.0,
28,Spule001_Image0029.jpg,0,0.0,
29,Spule001_Image0030.jpg,0,0.0,
30,Spule001_Image0031.jpg,0,0.0,
31,Spule001_Image0032.jpg,0,0.0,
32,Spule001_Image0033.jpg,0,0.0,
33,Spule001_Image0034.jpg,0,0.0,
34,Spule001_Image0035.jpg,0,0.0,
35,Spule001_Image0036.jpg,0,0.0,
36,Spule001_Image0037.jpg,0,0.0,
37,Spule001_Image0038.jpg,0,0.0,
38,Spule001_Image0039.jpg,0,0.0,
39,Spule001_Image0040.jpg,0,0.0,
40,Spule001_Image0041.jpg,0,0.0,
41,Spule001_Image0042.jpg,0,0.0,
42,Spule001_Image0043.jpg,0,0.0,
43,Spule001_Image0044.jpg,0,0.0,
44,Spule001_Image0045.jpg,0,0.0,
45,Spule001_Image0046.jpg,0,0.0,
46,Spule001_Image0047.jpg,0,0.0,
47,Spule001_Image0048.jpg,0,0.0,
48,Spule001_Image0049.jpg,0,0.0,
49,Spule001_Image0050.jpg,0,0.0,
50,Spule001_Image0051.jpg,0,0.0,
51,Spule001_Image0052.jpg,0,0.0,
52,Spule001_Image0053.jpg,0,0.0,
53,Spule001_Image0054.jpg,0,0.0,
54,Spule001_Image0055.jpg,0,0.0,
55,Spule001_Image0056.jpg,0,0.0,
56,Spule001_Image0057.jpg,0,0.0,
57,Spule001_Image0058.jpg,0,0.0,
58,Spule001_Image0059.jpg,0,0.0,
59,Spule001_Image0060.jpg,0,0.0,
60,Spule001_Image0061.jpg,0,0.0,
61,Spule001_Image0062.jpg,0,0.0,
62,Spule001_Image0063.jpg,0,0.0,
63,Spule001_Image0064.jpg,0,0.0,
64,Spule001_Image0065.jpg,0,0.0,
65,Spule001_Image0066.jpg,0,0.0,
66,Spule001_Image0067.jpg,0,0.0,
67,Spule001_Image0068.jpg,0,0.0,
68,Spule001_Image0069.jpg,0,0.0,
69,Spule001_Image0070.jpg,0,0.0,
70,Spule001_Image0071.jpg,0,0.0,
71,Spule001_Image0072.jpg,0,0.0,
72,Spule001_Image0073.jpg,0,0.0,
73,Spule001_Image0074.jpg,0,0.0,
74,Spule001_Image0075.jpg,0,0.0,
75,Spule001_Image0076.jpg,0,0.0,
76,Spule001_Image0077.jpg,0,0.0,
77,Spule001_Image0078.jpg,0,0.0,
78,Spule001_Image0079.jpg,0,0.0,
