Image,Wickelfehler,Angle,Index
Spule001_Image0016.jpg,0,0.6295986084102669,1
Spule001_Image0017.jpg,0,0.30154559719026625,2
Spule001_Image0018.jpg,0,0.2904293754537377,3
Spule001_Image0019.jpg,0,0.8572850844811719,4
Spule001_Image0020.jpg,0,0.18017006237688885,5
Spule001_Image0021.jpg,0,0.6008597580644167,6
Spule001_Image0022.jpg,0,0.0,7
Spule001_Image0023.jpg,0,0.5964229015220794,8
Spule001_Image0024.jpg,0,1.0810203400247806,9
Spule001_Image0025.jpg,0,0.30154559719026625,10
Spule001_Image0026.jpg,0,0.2969304287714276,11
Spule001_Image0027.jpg,0,1.515041542887391,12
Spule001_Image0028.jpg,0,0.18723511085551567,13
Spule001_Image0029.jpg,0,0.4317122511756965,14
Spule001_Image0030.jpg,0,0.3330999850915708,15
Spule001_Image0031.jpg,0,0.8646838161752831,16
Spule001_Image0032.jpg,0,0.0,17
Spule001_Image0033.jpg,0,0.2098662028034223,18
Spule001_Image0034.jpg,0,0.290839021578235,19
Spule001_Image0035.jpg,0,0.5354122273934816,20
Spule001_Image0036.jpg,0,0.4626385991241402,21
Spule001_Image0037.jpg,0,0.3805203979550813,22
Spule001_Image0038.jpg,0,0.18188586447190686,23
Spule001_Image0039.jpg,0,0.2677294927822669,24
Spule001_Image0040.jpg,0,0.3292715887818015,25
Spule001_Image0041.jpg,0,0.0,26
Spule001_Image0042.jpg,0,0.5984325091341007,27
Spule001_Image0043.jpg,0,0.0,28
Spule001_Image0044.jpg,0,0.5354122273934816,29
Spule001_Image0045.jpg,0,0.17848632852151125,30
Spule001_Image0046.jpg,0,0.203168858891732,31
Spule001_Image0047.jpg,0,0.5828794018779342,32
Spule001_Image0048.jpg,0,0.6852394014905427,33
Spule001_Image0049.jpg,0,0.0,34
Spule001_Image0050.jpg,0,0.3839656435210374,35
Spule001_Image0051.jpg,0,0.3182967879817432,36
Spule001_Image0052.jpg,0,0.3569726570430225,37
Spule001_Image0053.jpg,0,0.1909795658944953,38
Spule001_Image0054.jpg,0,0.20103039812684415,39
Spule001_Image0055.jpg,0,0.2836332049289672,40
Spule001_Image0056.jpg,0,0.17848632852151125,41
Spule001_Image0057.jpg,0,0.3080299541996151,42
Spule001_Image0058.jpg,0,0.21219785865449547,43
Spule001_Image0059.jpg,0,0.3292715887818015,44
Spule001_Image0060.jpg,0,0.5354122273934816,45
Spule001_Image0061.jpg,0,0.2677294927822669,46
Spule001_Image0062.jpg,0,0.2098662028034223,47
Spule001_Image0063.jpg,0,0.2984047256145886,48
Spule001_Image0064.jpg,0,0.196885738215557,49
Spule001_Image0065.jpg,0,0.30154559719026625,50
Spule001_Image0066.jpg,0,0.16276509505737155,51
Spule001_Image0067.jpg,0,0.3080299541996151,52
Spule001_Image0068.jpg,0,0.579107336385426,53
Spule001_Image0069.jpg,0,0.0,54
Spule001_Image0070.jpg,0,0.3182967879817432,55
Spule001_Image0071.jpg,0,0.2677294927822669,56
Spule001_Image0072.jpg,0,0.13386474639113344,57
